18530,0.998047,0.011718,-0.005326,-0.013848
0.239990,-0.187256,0.962524,0.009587,0.015979,-0.028762
0.243530,-0.184204,0.967896,0.007457,0.015979,-0.021305
0.249146,-0.183838,0.973511,0.002131,0.017044,-0.015979
0.250488,-0.186890,0.973877,0.003196,0.013848,-0.011718
0.252197,-0.191284,0.973877,0.013848,0.011718,-0.005326
0.251465,-0.187500,0.969727,0.008522,0.000000,-0.009587
0.246460,-0.186890,0.974487,0.018110,-0.007457,-0.002131
0.240601,-0.193970,0.976074,0.047937,-0.012783,0.034088
0.245239,-0.170898,0.957764,0.029827,0.010653,0.039415
0.236328,-0.195068,0.956543,-0.013848,0.009587,0.020240
0.237061,-0.190308,0.955078,-0.004261,0.023436,0.002131
0.229736,-0.203003,0.996460,-0.006392,0.015979,-0.015979
0.234985,-0.203003,0.973022,0.003196,0.014914,-0.023436
0.237915,-0.195557,0.973389,0.020240,0.015979,-0.022371
0.238159,-0.193726,0.972656,-0.002131,0.014914,-0.029827
0.242310,-0.205078,0.974365,0.018110,0.014914,-0.029827
0.240356,-0.192627,0.970947,0.019175,0.010653,-0.028762
0.242920,-0.192505,0.966187,0.019175,0.004261,-0.028762
0.244873,-0.184570,0.959595,0.012783,-0.005326,-0.037284
0.247314,-0.184448,0.960449,0.001065,-0.006392,-0.034088
0.248657,-0.184937,0.964722,0.003196,-0.003196,-0.026632
0.243896,-0.176025,0.968750,-0.002131,0.002131,-0.027697
0.248413,-0.181519,0.968872,-0.006392,0.008522,-0.023436
