ax,ay,az,gx,gy,gz
-0.889771,0.078125,0.035034,-0.015979,-0.537959,0.423975
-0.870361,0.067749,0.042358,-0.051133,-0.413323,0.349407
-0.859253,0.048462,0.051392,-0.050067,-0.267381,0.267381
-0.856812,0.022705,0.068726,-0.010653,-0.122505,0.176834
-0.845459,0.010620,0.077881,0.072438,0.254598,0.007457
-0.848877,0.003174,0.089600,0.196009,0.055394,-0.129962
-0.859253,0.012573,0.085571,0.275904,0.064981,-0.274838
-0.932495,0.044434,0.067871,0.297209,0.052198,-0.404801
-0.971436,0.067017,0.052612,0.278034,0.043676,-0.542220
-1.046387,0.030396,0.070312,0.198139,0.066046,-0.778709
-1.076538,0.041870,0.086304,0.209857,0.140615,-1.114267
-1.181641,0.068359,0.090698,0.271643,0.232228,-1.234642
-1.240723,0.086548,0.106445,0.308927,0.284426,-1.279383
-1.251709,0.105713,0.103271,0.358994,0.296144,-1.349691
-1.322266,0.124390,0.068481,0.376038,0.221575,-1.409345
-1.439697,0.133667,0.094360,0.425041,0.187487,-1.529720
-1.468384,0.156738,0.100830,0.597614,0.147007,-1.552091
-1.342651,0.201782,0.092773,0.715858,0.116114,-1.467935
-1.175049,0.225830,0.099854,0.781904,0.125701,-1.337973
-1.049561,0.245117,0.130859,0.818123,0.172573,-1.174987
-0.975830,0.211060,0.126709,0.908671,0.168312,-0.970456
-0.950073,0.172974,0.097778,1.018393,0.121440,-0.824515
-0.974365,0.153687,0.070068,1.135572,0.011718,-0.702010
-0.987549,0.143311,0.072876,1.245295,-0.121440,-0.577374
-0.973389,0.125610,0.105957,1.441303,-0.278034,-0.494283
-0.946289,0.101807,0.120239,1.612811,-0.318514,-0.427171
-0.884888,0.070190,0.097534,1.858887,-0.357929,-0.386691
-0.802979,0.084106,0.063965,2.068744,-0.381365,-0.376038
-0.745483,0.114380,0.035645,2.190185,-0.389887,-0.373908
-0.722778,0.163330,0.019043,2.167814,-0.373908,-0.405866
-0.719116,0.246460,0.034302,1.938782,-0.304666,-0.430367
-0.758301,0.310913,0.084961,1.529720,-0.184291,-0.467651
-0.787354,0.330688,0.102661,1.076983,-0.086286,-0.474043
-0.780518,0.298828,0.109619,0.536893,0.040480,-0.512392
-0.780151,0.249512,0.135864,0.329167,0.123571,-0.544350
-0.823608,0.250854,0.160156,0.160855,0.204531,-0.574178
-0.855835,0.266357,0.190063,0.025566,0.284426,-0.572047
-0.870117,0.276001,0.214966,-0.094809,0.367516,-0.550742
-0.878418,0.273560,0.221436,-0.174703,0.421845,-0.494283
-0.882935,0.269897,0.226685,-0.251403,0.461260,-0.436759
-0.925171,0.276611,0.235962,-0.344081,0.485761,-0.369647
-0.960083,0.294434,0.248047,-0.451672,0.496413,-0.290817
-1.029175,0.306641,0.255859,-0.589091,0.495348,-0.185356
-1.121338,0.298218,0.244263,-0.770186,0.421845,-0.067112
-1.204834,0.267456,0.224121,-0.800014,0.350472,0.057524
-1.280884,0.192505,0.174561,-0.694553,0.216249,0.321710
-1.307251,0.095459,0.127563,-0.518784,0.078830,0.519849
-1.332642,0.088501,0.124023,-0.349407,-0.011718,0.607201
-1.386230,0.132446,0.128662,-0.263120,-0.056459,0.676443
-1.419678,0.130615,0.118896,-0.252468,-0.082025,0.761664
-1.323975,0.113403,0.069824,-0.258859,-0.118244,0.876713
-1.196045,0.116699,0.028198,-0.322775,-0.132093,0.947020
-1.092651,0.148071,0.028320,-0.509197,-0.084156,1.053547
-0.946533,0.176270,0.035156,-0.688161,-0.015979,1.155812
-0.921021,0.126465,0.017090,-0.819189,0.018110,1.246360
-0.942505,0.128540,-0.012573,-0.936368,-0.017044,1.259143
-0.997070,0.122070,-0.038452,-1.068461,-0.107592,1.245295
-1.060547,0.092285,-0.061890,-1.181379,-0.233293,1.227185
-1.090576,0.068237,-0.081665,-1.255947,-0.346211,1.186705
-1.141968,0.030151,-0.090454,-1.252751,-0.444215,1.117463
-1.173584,-0.002075,-0.088989,-1.143029,-0.510262,1.021589
-1.160767,-0.029663,-0.093384,-0.919324,-0.550742,0.910801
-1.075928,-0.032715,-0.104736,-0.490022,-0.542220,0.850081
-1.044922,-0.014771,-0.108032,-0.210922,-0.518784,0.817058
-1.003296,0.015259,-0.099487,-0.014914,-0.472978,0.804275
-0.972168,0.042603,-0.070801,0.092678,-0.403735,0.793622
-0.959961,0.068970,-0.057129,0.149137,-0.348342,0.787231
-0.947876,0.087402,-0.035889,0.101200,-0.313188,0.748881
-0.977417,0.078735,-0.001953,0.047937,-0.303600,0.700944
-0.979248,0.073120,-0.019775,0.047937,-0.360060,0.645550
-0.954102,0.070679,-0.030151,0.027697,-0.409062,0.573112
-0.929810,0.062622,-0.012817,0.038350,-0.368582,0.484696
-0.908936,0.064941,0.012817,0.036219,-0.269512,0.434628
-0.935913,0.058350,0.026367,0.007457,-0.178964,0.399474
-0.964722,0.041016,0.039185,-0.028762,-0.124636,0.313188
-0.998535,0.026001,0.039795,-0.044741,-0.115049,0.185356
-1.044067,0.014038,0.043945,-0.039415,-0.123571,0.033023
