7,0.293213,0.001065,-0.029827,0.035154
-0.419678,0.717285,0.984375,0.245011,0.394148,0.067112
-0.344849,0.599854,0.971802,-0.308927,0.438889,0.176834
-0.255249,0.587891,0.944702,-0.550742,0.472978,0.323841
-0.277832,0.640747,0.948120,-0.807471,0.488957,0.311057
-0.381714,0.609985,0.937866,-0.663660,0.499609,0.338754
-0.429810,0.519287,0.852783,-0.079895,0.578439,0.412258
-0.416138,0.504395,0.782837,0.633833,0.695618,0.429302
-0.513428,0.625244,0.856689,0.559264,0.662595,0.285491
-0.661499,0.729736,0.899780,0.181095,0.499609,0.069242
-0.713013,0.665527,0.806152,-0.164051,0.347276,-0.188552
-0.606812,0.470459,0.635376,0.100135,0.300405,-0.441020
-0.551636,0.410278,0.471313,0.929976,0.436759,-0.643420
-0.655640,0.522827,0.445801,1.793906,0.638094,-0.730772
-0.797241,0.649658,0.507935,1.931325,0.759534,-0.837298
-0.867920,0.723877,0.536743,1.349691,0.797883,-1.020524
-0.876587,0.724365,0.542847,0.507066,0.791492,-1.419998
-0.924072,0.585693,0.504150,-0.167247,0.927846,-1.652226
-1.012085,0.511719,0.608398,-0.204531,0.994957,-1.755557
-1.058228,0.423706,0.626953,-0.017044,0.972587,-1.808820
-0.918701,0.310913,0.534912,0.227967,0.961934,-1.922803
-0.788330,0.272095,0.446411,0.555003,1.032242,-2.027199
-0.861694,0.415161,0.472412,0.874582,1.108941,-2.066614
-0.973145,0.693115,0.490723,0.337689,1.169661,-2.075136
-0.989380,0.580200,0.419067,-0.547546,1.231446,-2.098572
-0.931152,0.333496,0.356079,-0.756338,1.329451,-1.970740
-0.930664,0.232666,0.348511,-0.148072,1.410411,-1.831190
-0.996826,0.277344,0.366211,0.157659,1.368865,-1.819472
-1.071045,0.254883,0.422607,0.188552,1.209076,-1.806689
-1.197998,0.250610,0.383423,0.109722,0.913997,-1.833321
-1.208008,0.236816,0.216553,0.035154,0.678574,-1.875932
-1.124023,0.105591,0.063721,0.144876,0.586961,-1.862083
-1.129639,-0.060913,-0.004761,0.493218,0.526241,-1.838647
-1.170532,-0.153564,-0.008423,1.046090,0.455933,-1.821603
-1.151001,-0.100342,0.021362,1.606419,0.333428,-1.645834
-1.050659,0.001099,-0.034424,1.904694,0.290817,-1.299623
-0.902832,0.168091,0.047363,1.343299,0.355798,-1.015197
-0.857788,0.064209,0.164917,0.774448,0.360060,-0.830907
-0.803589,-0.131714,0.211426,0.610397,0.283360,-0.657268
-0.730103,-0.082520,0.197998,0.780839,0.260990,-0.475108
-0.667725,0.045288,0.151001,0.609331,0.304666,-0.396279
-0.658813,0.078003,0.144653,0.053263,0.373908,-0.380300
-0.667725,0.006592,0.180664,-0.512392,0.426106,-0.357929
-0.647705,-0.105835,0.217285,-0.765925,0.414388,-0.305731
-0.563110,-0.142212,0.219116,-0.613593,0.372843,-0.190682
-0.468750,-0.045898,0.192871,-0.563525,0.377104,-0.063916
-0.501587,-0.054565,0.240234,-0.937433,0.356864,-0.085221
-0.580200,-0.150024,0.248291,-1.019459,0.321710,-0.094809
-0.652588,-0.132202,0.273315,-0.910801,0.270577,-0.098004
-0.717163,-0.147583,0.287109,-0.789361,0.218379,-0.118244
-0.812012,-0.151733,0.270874,-0.614658,0.197074,-0.111853
-0.958984,-0.037231,0.329956,-0.444215,0.171508,-0.069242
-1.115479,-0.081787,0.321777,-0.461260,0.109722,-0.131028
-1.182495,-0.207031,0.302246,-0.291883,0.021305,-0.122505
-1.138916,-0.203003,0.303955,0.015979,-0.148072,0.015979
-1.089233,-0.112427,0.266724,0.199205,-0.270577,0.185356
-1.055176,-0.197266,0.240723,0.211988,-0.406931,0.174703
-1.021240,-0.256104,0.195557,0.323841,-0.543285,0.284426
-0.995605,-0.253784,0.149292,0.459129,-0.634898,0.441020
-1.014648,-0.272095,0.132812,0.595483,-0.667921,0.531567
-1.046143,-0.306763,0.151123,0.808536,-0.691357,0.597614
-1.066772,-0.284546,0.130127,0.971522,-0.711597,0.657268
-1.038574,-0.158081,0.087280,0.884170,-0.659399,0.706271
-0.989380,-0.044922,0.090088,0.702010,-0.526241,0.678574
-1.014648,-0.028809,0.151489,-0.096939,-0.452738,0.463390
-0.959595,-0.327515,0.162598,-0.181095,-0.429302,0.329167
-0.908569,-0.293579,0.114258,0.136354,-0.382430,0.304666
-0.885132,-0.040527,0.038696,0.010653,-0.226901,0.213053
-0.890991,-0.057861,0.053223,-0.531567,-0.115049,0.028762
